"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\test\java\com\ksu\hotel\HotelReservationAppicationTests.java", "Java", 126, 0, 27, 153
"Total", "-", 126, 0, 27, 153
