"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\sahit\Documents\workspace-spring-tool-suite-4-4.16.0.RELEASE\hotel-backend\src\test\java\com\ksu\hotel\HotelReservationAppicationTests.java", "Java", 101, 0, 18, 119
"Total", "-", 101, 0, 18, 119
